iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Rate / Age,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
SRB,Serbia,2020-05-27,11227,34,239,0,1649.914,4.997,35.123,0,,,,,,,,,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,,,,,,,,,
SSD,South Sudan,2020-05-27,806,151,8,0,72.005,13.49,0.715,0,,,,,,,,,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,,,,,,,,,
STP,Sao Tome and Principe,2020-05-27,441,142,12,1,2012.219,647.925,54.754,4.563,,,,,,,,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,,,,,,,,,
SUR,Suriname,2020-05-27,11,0,1,0,18.751,0,1.705,0,,,,,,,,,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,,,,,,,,,
SVK,Slovakia,2020-05-27,1513,2,28,0,277.124,0.366,5.129,0,163362,2839,29.922,0.52,2074,0.38,tests performed,,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,,,,,,,,,
SVN,Slovenia,2020-05-27,1469,0,106,0,706.613,0,50.988,0,,,,,,,,,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,,,,,,,,,
SWE,Sweden,2020-05-27,34440,597,4125,96,3410.147,59.113,408.445,9.506,,,,,,,,,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,,,,,,,,,
SWZ,Swaziland,2020-05-27,261,5,2,0,224.968,4.31,1.724,0,,,,,,,,,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,,,,,,,,,
SXM,Sint Maarten (Dutch part),2020-05-27,77,0,15,0,1795.625,0,349.797,0,,,,,,,,,42882,1209.088,,,,36327.232,,,,,,,,,,,,,,,,
SYC,Seychelles,2020-05-27,11,0,0,0,111.857,0,0,0,,,,,,,,,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,,,,,,,,,
SYR,Syria,2020-05-27,121,15,4,0,6.914,0.857,0.229,0,,,,,,,,71.3,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,,,,,,,,,
TCA,Turks and Caicos Islands,2020-05-27,12,0,1,0,309.933,0,25.828,0,,,,,,,,,38718,37.312,,,,,,,,,,,,,,,,,,,,
TCD,Chad,2020-05-27,700,13,62,1,42.616,0.791,3.775,0.061,,,,,,,,,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,,,,,,,,,
TGO,Togo,2020-05-27,391,5,13,0,47.229,0.604,1.57,0,,,,,,,,,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,,,,,,,,,
THA,Thailand,2020-05-27,3045,3,57,0,43.625,0.043,0.817,0,,,,,,,,,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,,,,,,,,,
TJK,Tajikistan,2020-05-27,3100,0,46,0,325.028,0,4.823,0,,,,,,,,,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,,,,,,,,,
TLS,Timor,2020-05-27,24,0,0,0,18.203,0,0,0,,,,,,,,59.26,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,,,,,,,,,
TTO,Trinidad and Tobago,2020-05-27,116,0,8,0,82.887,0,5.716,0,,,,,,,,,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,,,,,,,,,
TUN,Tunisia,2020-05-27,1051,0,48,0,88.927,0,4.061,0,,,,,,,,,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,,,,,,,,,
TUR,Turkey,2020-05-27,158762,948,4397,28,1882.425,11.24,52.135,0.332,1894650,21043,22.465,0.25,28328,0.336,tests performed,,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,,,,,,,,,
TWN,Taiwan,2020-05-27,441,0,7,0,18.516,0,0.294,0,,,,,,,,,23816775,,42.2,,8.353,,,103.957,,,,,,,,,,,,,,
TZA,Tanzania,2020-05-27,509,0,21,0,8.521,0,0.352,0,,,,,,,,,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,,,,,,,,,
UGA,Uganda,2020-05-27,253,31,0,0,5.531,0.678,0,0,,,,,,,,,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,,,,,,,,,
UKR,Ukraine,2020-05-27,21584,339,644,21,493.532,7.751,14.725,0.48,312532,10796,7.146,0.247,9143,0.209,units unclear,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,,,,,,,,,
URY,Uruguay,2020-05-27,789,2,22,0,227.134,0.576,6.333,0,39469,774,11.362,0.223,668,0.192,tests performed,,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,,,,,,,,,
USA,United States,2020-05-27,1681212,18910,98916,696,5079.15,57.129,298.837,2.103,,,,,,,,,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,,,,,,,,,
UZB,Uzbekistan,2020-05-27,3333,72,14,1,99.584,2.151,0.418,0.03,,,,,,,,,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,,,,,,,,,
VAT,Vatican,2020-05-27,12,0,0,0,14833.127,0,0,0,,,,,,,,,809,,,,,,,,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,2020-05-27,18,0,0,0,162.24,0,0,0,,,,,,,,,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,,,,,,,,,
VEN,Venezuela,2020-05-27,1211,34,11,1,42.587,1.196,0.387,0.035,,,,,,,,,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,,,,,,,,,
VGB,British Virgin Islands,2020-05-27,8,0,1,0,264.577,0,33.072,0,,,,,,,,,30237,207.973,,,,,,,13.67,,,,,,,,,,,,,
VIR,United States Virgin Islands,2020-05-27,69,0,6,0,660.774,0,57.459,0,,,,,,,,,104423,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,,,,,,,,,
VNM,Vietnam,2020-05-27,327,1,0,0,3.359,0.01,0,0,,,,,,,,,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,,,,,,,,,
XKX,Kosovo,2020-05-27,1038,0,30,0,537.052,0,15.522,0,,,,,,,,,1932774,,,,,,,,,,,,,,,,,,,,,
YEM,Yemen,2020-05-27,249,12,49,4,8.348,0.402,1.643,0.134,,,,,,,,,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,,,,,,,,,
ZAF,South Africa,2020-05-27,24264,649,524,43,409.114,10.943,8.835,0.725,,,,,,,,,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,,,,,,,,,
ZMB,Zambia,2020-05-27,920,0,7,0,50.044,0,0.381,0,,,,,,,,,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,,,,,,,,,
ZWE,Zimbabwe,2020-05-27,56,0,4,0,3.768,0,0.269,0,,,,,,,,,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,,,,,,,,,
