iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Rate / Age,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
GRD,Grenada,2020-05-27,23,0,0,0,204.41,0,0,0,,,,,,,,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,,,,,,,,,
GRL,Greenland,2020-05-27,12,0,0,0,211.372,0,0,0,,,,,,,,,56772,0.137,,,,,,199.941,2.16,,,,,,,,,,,,,
GTM,Guatemala,2020-05-27,3954,194,63,4,220.702,10.829,3.516,0.223,,,,,,,,,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,,,,,,,,,
GUM,Guam,2020-05-27,169,3,5,0,1001.286,17.774,29.624,0,,,,,,,,,168783,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,,,,,,,,,
GUY,Guyana,2020-05-27,139,2,11,0,176.719,2.543,13.985,0,,,,,,,,,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,,,,,,,,,
HND,Honduras,2020-05-27,4401,212,188,6,444.339,21.404,18.981,0.606,,,,,,,,100,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,,,,,,,,,
HRV,Croatia,2020-05-27,2244,0,101,1,546.615,0,24.603,0.244,,,,,,,,42.59,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,,,,,,,,,
HTI,Haiti,2020-05-27,1174,111,33,2,102.96,9.735,2.894,0.175,,,,,,,,,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,,,,,,,,,
HUN,Hungary,2020-05-27,3793,22,505,6,392.636,2.277,52.276,0.621,169960,3697,17.594,0.383,3890,0.403,tests performed,61.57,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,,,,,,,,,
IDN,Indonesia,2020-05-27,23165,415,1418,27,84.691,1.517,5.184,0.099,195518,7216,0.715,0.026,5911,0.022,people tested,,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,,,,,,,,,
IMN,Isle of Man,2020-05-27,336,0,24,0,3951.454,0,282.247,0,,,,,,,,,85032,147.872,,,,,,,,,,,,,,,,,,,,
IND,India,2020-05-27,151767,6387,4337,170,109.976,4.628,3.143,0.123,,,,,,,,79.17,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,,,,,,,,,
IRL,Ireland,2020-05-27,24735,37,1615,9,5009.32,7.493,327.069,1.823,,,,,,,,,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,,,,,,,,,
IRN,Iran,2020-05-27,139511,1787,7508,57,1660.985,21.276,89.388,0.679,856546,19456,10.198,0.232,17905,0.213,tests performed,,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,,,,,,,,,
IRQ,Iraq,2020-05-27,4848,216,169,6,120.53,5.37,4.202,0.149,,,,,,,,,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,,,,,,,,,
ISL,Iceland,2020-05-27,1804,0,10,0,5286.447,0,29.304,0,,,,,,,,53.7,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,,,,,,,,,
ISR,Israel,2020-05-27,16757,23,281,0,1935.985,2.657,32.465,0,,,,,,,,,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,,,,,,,,,
ITA,Italy,2020-05-27,230555,397,32955,78,3813.232,6.566,545.055,1.29,3607251,67324,59.662,1.113,62219,1.029,tests performed,,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,,,,,,,,,
JAM,Jamaica,2020-05-27,564,8,9,0,190.466,2.702,3.039,0,,,,,,,,,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,,,,,,,,,
JEY,Jersey,2020-05-27,307,0,29,0,3037.409,0,286.921,0,,,,,,,,,101073,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,2020-05-27,718,7,9,0,70.37,0.686,0.882,0,,,,,,,,,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,,,,,,,,,
JPN,Japan,2020-05-27,16651,28,858,12,131.653,0.221,6.784,0.095,278642,,2.203,,2909,0.023,people tested,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,,,,,,,,,
KAZ,Kazakhstan,2020-05-27,9304,335,37,2,495.508,17.841,1.971,0.107,710352,23085,37.832,1.229,19829,1.056,tests performed,,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,,,,,,,,,
KEN,Kenya,2020-05-27,1348,62,52,0,25.069,1.153,0.967,0,67341,3077,1.252,0.057,2562,0.048,units unclear,,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,,,,,,,,,
KGZ,Kyrgyzstan,2020-05-27,1520,52,16,0,232.979,7.97,2.452,0,,,,,,,,,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,,,,,,,,,
KHM,Cambodia,2020-05-27,124,0,0,0,7.417,0,0,0,,,,,,,,,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,,,,,,,,,
KNA,Saint Kitts and Nevis,2020-05-27,15,0,0,0,281.997,0,0,0,,,,,,,,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,,,,,,,,,
KOR,South Korea,2020-05-27,11265,40,269,0,219.723,0.78,5.247,0,852876,13401,16.635,0.261,10920,0.213,people tested,,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,,,,,,,,,
KWT,Kuwait,2020-05-27,22575,608,172,7,5286.188,142.37,40.276,1.639,,,,,,,,,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,,,,,,,,,
LAO,Laos,2020-05-27,19,0,0,0,2.611,0,0,0,,,,,,,,,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,,,,,,,,,
LBN,Lebanon,2020-05-27,1140,21,26,0,167.022,3.077,3.809,0,,,,,,,,,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,,,,,,,,,
LBR,Liberia,2020-05-27,266,1,26,0,52.593,0.198,5.141,0,,,,,,,,,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,,,,,,,,,
LBY,Libya,2020-05-27,77,2,3,0,11.206,0.291,0.437,0,,,,,,,,,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,,,,,,,,,
LCA,Saint Lucia,2020-05-27,18,0,0,0,98.024,0,0,0,,,,,,,,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,,,,,,,,,
LIE,Liechtenstein,2020-05-27,83,0,1,0,2176.364,0,26.221,0,,,,,,,,,38137,237.012,,,,,,,7.77,,,,2.397,,,,,,,,,
LKA,Sri Lanka,2020-05-27,1319,137,10,0,61.597,6.398,0.467,0,,,,,,,,,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,,,,,,,,,
LSO,Lesotho,2020-05-27,2,0,0,0,0.934,0,0,0,,,,,,,,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,,,,,,,,,
LTU,Lithuania,2020-05-27,1639,4,65,2,602.066,1.469,23.877,0.735,281232,6174,103.307,2.268,5093,1.871,samples tested,71.3,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,,,,,,,,,
LUX,Luxembourg,2020-05-27,3995,2,110,0,6382.034,3.195,175.726,0,70148,1319,112.062,2.107,876,1.399,people tested,,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,,,,,,,,,
LVA,Latvia,2020-05-27,1053,4,22,0,558.265,2.121,11.664,0,103553,1955,54.9,1.036,1543,0.818,tests performed,,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,,,,,,,,,
MAR,Morocco,2020-05-27,7577,45,202,2,205.28,1.219,5.473,0.054,,,,,,,,93.52,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,,,,,,,,,
MCO,Monaco,2020-05-27,98,0,5,0,2497.197,0,127.408,0,,,,,,,,,39244,19347.5,,,,,,,5.46,,,,13.8,,,,,,,,,
MDA,Moldova,2020-05-27,7305,158,267,6,1810.874,39.167,66.188,1.487,,,,,,,,80.56,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,,,,,,,,,
MDG,Madagascar,2020-05-27,586,44,2,0,21.162,1.589,0.072,0,,,,,,,,,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,,,,,,,,,
MDV,Maldives,2020-05-27,1438,43,5,1,2660.293,79.55,9.25,1.85,,,,,,,,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,,,,,,,,,
MEX,Mexico,2020-05-27,74560,3455,8134,501,578.286,26.797,63.087,3.886,,,,,,,,,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,,,,,,,,,
MKD,Macedonia,2020-05-27,2015,16,116,3,967.178,7.68,55.679,1.44,,,,,,,,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,,,,,,,,,
MLI,Mali,2020-05-27,1077,18,70,3,53.183,0.889,3.457,0.148,,,,,,,,,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,,,,,,,,,
MLT,Malta,2020-05-27,611,0,6,0,1383.796,0,13.589,0,,,,,,,,,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,,,,,,,,,
MMR,Myanmar,2020-05-27,206,3,6,0,3.786,0.055,0.11,0,21593,1271,0.397,0.023,720,0.013,samples tested,,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,,,,,,,,,
MNE,Montenegro,2020-05-27,324,0,9,0,515.873,0,14.33,0,,,,,,,,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,,,,,,,,,
MNG,Mongolia,2020-05-27,148,7,0,0,45.145,2.135,0,0,,,,,,,,,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,,,,,,,,,
MNP,Northern Mariana Islands,2020-05-27,22,0,2,0,382.23,0,34.748,0,,,,,,,,,57557,119.878,,,,,,194.994,,,,,,,,,,,,,,
MOZ,Mozambique,2020-05-27,213,4,1,0,6.815,0.128,0.032,0,,,,,,,,,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,,,,,,,,,
MRT,Mauritania,2020-05-27,262,25,9,3,56.348,5.377,1.936,0.645,,,,,,,,,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,,,,,,,,,
MSR,Montserrat,2020-05-27,11,0,1,0,2200.44,0,200.04,0,,,,,,,,,4999,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,2020-05-27,334,0,10,0,262.627,0,7.863,0,,,,,,,,,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,,,,,,,,,
MWI,Malawi,2020-05-27,101,0,4,0,5.28,0,0.209,0,,,,,,,,,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,,,,,,,,,
MYS,Malaysia,2020-05-27,7604,187,115,0,234.938,5.778,3.553,0,,,,,,,,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,,,,,,,,,
NAM,Namibia,2020-05-27,21,0,0,0,8.265,0,0,0,,,,,,,,,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,,,,,,,,,
NCL,New Caledonia,2020-05-27,18,0,0,0,63.049,0,0,0,,,,,,,,,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,,,,,,,,,
NER,Niger,2020-05-27,952,1,63,1,39.328,0.041,2.603,0.041,,,,,,,,,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,,,,,,,,,
NGA,Nigeria,2020-05-27,8344,276,249,16,40.477,1.339,1.208,0.078,48544,1741,0.235,0.008,1473,0.007,samples tested,,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,,,,,,,,,
NIC,Nicaragua,2020-05-27,759,480,35,18,114.574,72.458,5.283,2.717,,,,,,,,,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,,,,,,,,,
